"name","age","event"
"Charles Jacobus","64","Roque Men's Singles"
"Oscar Gomer Swahn","64","Shooting Men's Running Target, Single Shot, Team"
"Galen Carter ""G. C."" Spencer","63","Archery Men's Team Round"
"Isaac Lazarus Israls","63","Art Competitions Mixed Painting, Paintings"
"Lida Peyton ""Eliza"" Pollock (McMillen-)","63","Archery Women's Team Round"
"Robert W. Williams, Jr.","63","Archery Men's Team Round"
"Joshua Kearney Millner","60","Shooting Men's Free Rifle, 1,000 Yards"
"Oscar Gomer Swahn","60","Shooting Men's Running Target, Single Shot"
"Oscar Gomer Swahn","60","Shooting Men's Running Target, Single Shot, Team"
"Walter Winans","60","Art Competitions Mixed Sculpturing"
"Everard Coenraad Endt","59","Sailing Mixed 6 metres"
"William Herbert ""Bill"" Northam","59","Sailing Mixed 5.5 metres"
"Chrtien Andr Waydelich","58","Croquet Mixed Singles, Two Balls"
"Emily Woodruff (Smiley-)","58","Archery Women's Team Round"
"Nicholas David ""Nick"" Skelton","58","Equestrianism Mixed Jumping, Individual"
"Charles Granville Bruce","57","Alpinism Mixed Alpinism"
"Giani Stparich","57","Art Competitions Mixed Literature, Epic Works"
"Allen Whitty","56","Shooting Men's Running Target, Double Shot, Team"
"David August Wallin","56","Art Competitions Mixed Painting, Paintings"
"Ernst Linder","56","Equestrianism Men's Dressage, Individual"
